h3_index,cuisine_type,competitor_count,avg_rating,total_reviews,rent_index,void_score,latitude,longitude,dominant_zip
88441a8303fffff,Nightlife,1,2.5,79,2639.39898989899,66.42,27.809868,-82.638264,33703
88441a8811fffff,Meat Shops,1,3.5,72,2632.0512820512818,66.42,27.911868,-82.52705,33629
88441a883bfffff,Custom Cakes,1,4.5,68,2632.0512820512818,66.42,27.91665,-82.506364,33629
88441a89a1fffff,Irish,1,3.5,114,2657.161863799283,66.42,27.951255,-82.448691,33602
88441a89a9fffff,Event Planning & Services,1,4.0,113,2657.161863799283,66.42,27.939947,-82.451467,33602
8826462501fffff,Fast Food,1,4.5,78,2640.0,66.41,38.602493,-90.435499,63131
882646252dfffff,Chinese,1,3.5,76,2640.0,66.41,38.602196,-90.46487,63131
88441a8833fffff,Sandwiches,1,4.5,63,2632.0512820512818,66.41,27.925179,-82.506126,33629
88441a89a7fffff,American (New),1,4.5,104,2657.161863799283,66.41,27.951249,-82.447453,33602
882646252dfffff,Seafood,1,4.0,71,2640.0,66.41,38.602081,-90.461421,63131
882646272bfffff,Barbeque,1,3.5,71,2640.0,66.41,38.644145,-90.406038,63131
882646272bfffff,Sandwiches,1,4.0,79,2640.0,66.41,38.643371,-90.408102,63131
882aac941dfffff,Italian,1,4.0,121,2667.2738095238096,66.41,40.155243,-75.302057,19422
88441a8315fffff,Salad,1,3.0,77,2639.39898989899,66.41,27.817951,-82.63914,33703
88441a833bfffff,Local Flavor,1,4.0,75,2639.39898989899,66.41,27.819579,-82.63904,33703
88441a8837fffff,Nightlife,1,3.0,64,2632.0512820512818,66.41,27.920159,-82.49393,33629
88441a89adfffff,Sushi Bars,1,2.5,104,2657.161863799283,66.41,27.943473,-82.447553,33602
882646252dfffff,Sandwiches,1,2.0,66,2640.0,66.4,38.602091,-90.465563,63131
88264d15b7fffff,Salad,1,4.0,407,2849.75,66.4,35.96186,-86.6753,37135
882aac9455fffff,Cafes,1,3.0,112,2667.2738095238096,66.4,40.164181,-75.290927,19422
882aac945dfffff,Italian,1,3.5,111,2667.2738095238096,66.4,40.169738,-75.285791,19422
88441a8813fffff,Cafes,1,5.0,52,2632.0512820512818,66.4,27.914222,-82.52704,33629
88441a88e5fffff,Bakeries,1,3.5,58,2632.0512820512818,66.4,27.930939,-82.507252,33629
88441a88edfffff,Middle Eastern,1,4.0,51,2632.0512820512818,66.4,27.927381,-82.513249,33629
882aac945dfffff,Breakfast & Brunch,1,4.0,112,2667.2738095238096,66.4,40.170204,-75.285225,19422
882aac945dfffff,Soup,1,3.5,111,2667.2738095238096,66.4,40.169708,-75.285725,19422
88441a8817fffff,Organic Stores,1,4.5,51,2632.0512820512818,66.4,27.912538,-82.518197,33629
88441a8833fffff,Breakfast & Brunch,1,4.5,58,2632.0512820512818,66.4,27.925138,-82.506258,33629
88441a88e5fffff,Thai,1,3.5,57,2632.0512820512818,66.4,27.929898,-82.507639,33629
88441a88e5fffff,Vietnamese,1,3.0,50,2632.0512820512818,66.4,27.927179,-82.505455,33629
88441a88edfffff,Karaoke,1,4.0,55,2632.0512820512818,66.4,27.9274,-82.5137,33629
8826462505fffff,Bars,1,3.5,57,2640.0,66.39,38.602606,-90.441126,63131
88264d01c7fffff,American (New),1,4.0,180,2715.2444444444445,66.39,35.97084,-86.836033,37069
882aac941dfffff,Sandwiches,1,3.0,102,2667.2738095238096,66.39,40.154403,-75.303545,19422
88441a833bfffff,Salad,1,3.5,54,2639.39898989899,66.39,27.81955,-82.639145,33703
88441a88e5fffff,Seafood,1,3.0,43,2632.0512820512818,66.39,27.929762,-82.506572,33629
88441a89a7fffff,Wraps,1,4.0,90,2657.161863799283,66.39,27.950365,-82.446099,33602
88441a89b1fffff,Tacos,1,4.5,85,2657.161863799283,66.39,27.961018,-82.463937,33602
88441a8313fffff,Breakfast & Brunch,1,4.5,60,2639.39898989899,66.39,27.820184,-82.655327,33703
88441a8811fffff,Local Flavor,1,3.5,44,2632.0512820512818,66.39,27.90864,-82.526743,33629
88441a8811fffff,Nightlife,1,4.0,43,2632.0512820512818,66.39,27.909042,-82.526928,33629
88441a8815fffff,Nightlife,1,2.5,43,2632.0512820512818,66.39,27.911385,-82.517586,33629
88441a88e5fffff,Soup,1,3.5,45,2632.0512820512818,66.39,27.931608,-82.507166,33629
88441a89b1fffff,Bars,1,4.0,85,2657.161863799283,66.39,27.960464,-82.463546,33602
8826462735fffff,Soup,1,2.5,47,2640.0,66.38,38.632689,-90.407151,63131
88441a8833fffff,Italian,1,3.5,40,2632.0512820512818,66.38,27.925073,-82.506291,33629
88441a8835fffff,Nightlife,1,4.5,38,2632.0512820512818,66.38,27.917002,-82.494227,33629
88441a883bfffff,Italian,1,4.0,35,2632.0512820512818,66.38,27.915265,-82.50627,33629
